AIRPORT_4CODE,TYPE_A,TYPE_B,TYPE_C,TYPE_D,TYPE_E,time1,time2
ZGSD,45,50,50,70,70,0,1440
ZBYN,45,50,50,70,70,0,1440
ZSZS,40,45,45,65,65,0,1440
ZULS,40,45,45,65,65,0,1440
ZSGZ,40,45,45,65,65,0,1440
ZLYS,40,45,45,65,65,0,1440
ZUGU,40,45,45,65,65,0,1440
ZWKN,40,45,45,65,65,0,1440
ZGDY,40,45,45,65,65,0,1440
ZPLJ,40,45,45,65,65,0,1440
ZSLY,40,45,45,65,65,0,1440
ZPJH,40,45,45,65,65,0,1440
ZPWS,40,45,45,65,65,0,1440
ZSJJ,40,45,45,65,65,0,1440
ZBYC,40,45,45,65,65,0,1440
ZUNC,40,45,45,65,65,0,1440
ZSYW,40,45,45,65,65,0,1440
ZSJD,40,45,45,65,65,0,1440
ZWTL,40,45,45,65,65,0,1440
ZYMD,40,45,45,65,65,0,1440
KLAX,55,65,65,75,75,0,1440
RKSI,55,65,65,75,75,0,1440
VABB,55,65,65,75,75,0,1440
UHMM,55,65,65,75,75,0,1440
LTAI,55,65,65,75,75,0,1440
YSSY,55,65,65,75,75,360,1380
WAHS,55,65,65,75,75,0,1440
WABB,55,65,65,75,75,0,1440
VYMD,55,65,65,75,75,0,1440
VRMM,55,65,65,75,75,0,1440
RJNS,55,65,65,75,75,0,1440
RJGG,55,65,65,75,75,0,1440
LIRP,55,65,65,75,75,0,1440
LICJ,55,65,65,75,75,0,1440
WIPP,55,65,65,75,75,0,1440
YBBN,55,65,65,75,75,0,1440
VTCT,55,65,65,75,75,420,1500
UTTT,55,65,65,75,75,0,1440
RKTN,55,65,65,75,75,0,1440
OTBD,55,65,65,75,75,0,1440
ESSA,55,65,65,75,75,0,1440
ZUGY,50,60,60,70,70,0,1440
ZYCC,45,50,50,70,70,0,1440
ZSFZ,45,50,50,70,70,0,1440
ZBSJ,45,50,50,70,70,0,1440
ZBCF,40,45,45,65,65,0,1440
ZBHD,40,45,45,65,65,0,1440
ZUJZ,40,45,45,65,65,0,1440
ZSJG,40,45,45,65,65,0,1440
ZSGS,40,45,45,65,65,0,1440
ZBTL,40,45,45,65,65,0,1440
ZUMT,40,45,45,65,65,0,1440
ZBCD,40,45,45,65,65,0,1440
ZPBS,40,45,45,65,65,0,1440
ZPDQ,40,45,45,65,65,0,1440
ZGOW,40,45,45,65,65,0,1440
ZSRZ,40,45,45,65,65,0,1440
ZSSR,40,45,45,65,65,0,1440
ZSCG,40,45,45,65,65,0,1440
ZUGZ,40,45,45,65,65,0,1440
ZULZ,40,45,45,65,65,0,1440
EDDM,55,65,65,75,75,0,1440
OMAA,55,65,65,75,75,0,1440
OEJN,55,65,65,75,75,0,1440
UHPP,55,65,65,75,75,0,1440
UHMA,55,65,65,75,75,0,1440
YMML,55,65,65,75,75,0,1440
WBSB,55,65,65,75,75,0,1440
VIDP,55,65,65,75,75,0,1440
RKNY,55,65,65,75,75,0,1440
RJFF,55,65,65,75,75,0,1440
RJAA,55,65,65,75,75,300,1320
YBCS,55,65,65,75,75,0,1440
WIII,55,65,65,75,75,0,1440
WIDD,55,65,65,75,75,0,1440
LFBO,55,65,65,75,75,0,1440
KSAN,55,65,65,75,75,0,1440
WSSS,55,65,65,75,75,0,1440
VLVT,55,65,65,75,75,0,1440
UTSB,55,65,65,75,75,0,1440
RKTU,55,65,65,75,75,0,1440
PGUM,55,65,65,75,75,0,1440
PGSN,55,65,65,75,75,0,1440
PACD,55,65,65,75,75,0,1440
LLBG,55,65,65,75,75,0,1440
HESN,55,65,65,75,75,0,1440
EHAM,55,65,65,75,75,0,1440
ZJHK,50,60,60,70,70,0,1440
ZPPP,55,65,65,75,75,0,1440
ZSPD,55,65,65,75,75,0,1440
ZSSS,55,65,65,75,75,0,1440
ZUCK,55,65,65,75,75,0,1440
ZSJN,45,50,50,70,70,0,1440
ZLXN,40,45,45,65,65,0,1440
ZSFY,40,45,45,65,65,0,1440
ZWAT,40,45,45,65,65,0,1440
ZBLL,40,45,45,65,65,0,1440
ZSWH,40,45,45,65,65,0,1440
ZBDS,40,45,45,65,65,0,1440
ZUQJ,40,45,45,65,65,0,1440
ZUWX,40,45,45,65,65,0,1440
ZSYT,40,45,45,65,65,0,1440
ZHSN,40,45,45,65,65,0,1440
