航班ID,日期,起飞机场,到达机场,计划起飞时间,计划到达时间,机号,父机型,人数,A,B,涉水
102790023,25,ZGSZ,ZUXC,34930,35100,81,1,127,1,1,1
102791503,25,ZUCK,ZLXY,34940,35020,18,2,141,1,1,1
102738175,25,ZPPP,ZUGU,34950,35050,20,2,149,1,1,1
102764969,25,ZSHC,ZSFY,34950,35030,73,2,151,1,1,0
102827831,25,ZUUU,ZPLJ,34950,35045,11,2,151,1,1,0
102807058,25,ZUCK,ZULS,34955,35125,68,1,80,1,0,0
102809496,25,ZLXY,ZUNZ,34955,35115,87,1,53,1,0,0
102827440,25,ZUUU,ZUNZ,34960,35075,67,1,40,1,0,0
102770688,25,ZSHC,ZLLL,34965,35140,17,2,149,1,1,1
102779608,25,ZUXC,ZLXY,34965,35065,74,2,156,1,1,1
102783579,25,ZUCK,ZGOW,34970,35110,98,2,139,1,1,1
102788992,25,ZUCK,ZUNZ,34970,35135,28,1,50,1,0,0
102798189,25,ZBAA,ZUCK,34970,35145,66,1,127,1,1,1
102802892,25,ZYHB,ZHCC,34970,35155,7,2,142,1,1,1
102860303,25,ZWWW,ZULZ,34970,35200,21,2,151,1,1,1
102774799,25,ZUUU,ZUDX,34975,35040,90,1,121,1,0,0
102774231,25,ZUXC,ZUGY,34980,35050,13,2,130,1,1,1
102757266,25,ZJSY,ZGKL,34985,35080,77,2,138,1,1,1
102771511,25,ZSHC,ZUCK,34985,35135,83,1,100,1,1,1
102851522,25,ZUCK,ZBAA,34985,35135,79,2,141,1,1,1
102745957,25,ZPPP,ZSNB,34990,35165,12,2,159,1,1,1
102821821,25,ZLXY,ZSJN,34990,35105,9,2,162,1,1,1
102849400,25,ZUUU,ZUDC,34990,35055,91,1,39,1,0,0
102804982,25,ZLXY,ZLXH,35000,35100,62,1,70,1,0,0
102793412,25,ZLXY,ZUYB,35005,35100,82,1,110,1,1,1
102828107,25,ZUUU,ZULS,35010,35150,80,1,108,1,0,0
102852964,25,ZPPP,ZPLJ,35010,35080,88,1,103,1,1,0
102828292,25,ZJSY,ZUMY,35015,35175,72,2,127,1,1,1
102762540,25,ZUCK,ZHCC,35020,35125,5,2,151,1,1,1
102859407,25,ZLXY,ZULZ,35020,35125,29,1,114,1,1,1
102822883,25,ZLXY,ZLXN,35030,35120,64,1,113,1,1,0
102757563,25,ZWWW,ZLXN,35040,35190,84,1,127,1,1,0
102816523,25,ZUUU,ZUDC,35040,35105,70,1,40,1,0,0
102824859,25,ZUUU,ZULS,35065,35215,61,1,65,1,0,0
102765206,25,ZSFY,ZUUU,35070,35195,73,2,154,1,1,0
102774395,25,ZSHC,ZGSD,35070,35200,15,2,135,1,1,1
102793594,25,ZLXY,ZWAT,35080,35310,18,2,81,1,1,0
102772679,25,ZUUU,ZLXN,35085,35195,19,2,144,1,1,0
102795851,25,ZPLJ,ZUMY,35090,35180,11,2,145,1,1,0
102810192,25,ZUCK,ZGKL,35090,35190,14,2,156,1,1,1
